Resultados de Detección de Fuego:

Imágenes con FUEGO:
1.jpg: No (Detección Errónea)
10.jpg: Sí (Detección Correcta)
11.jpg: Sí (Detección Correcta)
12.jpg: No (Detección Errónea)
13.jpg: Sí (Detección Correcta)
14.jpg: Sí (Detección Correcta)
15.jpg: No (Detección Errónea)
16.jpg: Sí (Detección Correcta)
17.jpg: No (Detección Errónea)
18.jpg: No (Detección Errónea)
19.jpg: No (Detección Errónea)
2.jpg: Sí (Detección Correcta)
20.jpg: Sí (Detección Correcta)
21.jpg: No (Detección Errónea)
22.jpg: No (Detección Errónea)
222.jpg: No (Detección Errónea)
23.jpg: No (Detección Errónea)
24.jpg: Sí (Detección Correcta)
25.jpg: Sí (Detección Correcta)
26.jpg: No (Detección Errónea)
27.jpg: No (Detección Errónea)
28.jpg: Sí (Detección Correcta)
29.jpg: No (Detección Errónea)
3.jpg: No (Detección Errónea)
30.jpg: Sí (Detección Correcta)
31.jpg: Sí (Detección Correcta)
32.jpg: No (Detección Errónea)
33.jpg: Sí (Detección Correcta)
34.jpg: Sí (Detección Correcta)
35.jpg: No (Detección Errónea)
36.jpg: Sí (Detección Correcta)
37.jpg: Sí (Detección Correcta)
38.jpg: No (Detección Errónea)
39.jpg: Sí (Detección Correcta)
4.jpg: No (Detección Errónea)
40.jpg: Sí (Detección Correcta)
41.jpg: Sí (Detección Correcta)
42.jpg: Sí (Detección Correcta)
43.jpg: Sí (Detección Correcta)
44.jpg: Sí (Detección Correcta)
45.jpg: No (Detección Errónea)
5.jpg: Sí (Detección Correcta)
6.jpg: Sí (Detección Correcta)
7.jpg: Sí (Detección Correcta)
8.jpg: No (Detección Errónea)
9.jpg: Sí (Detección Correcta)
F_1.jpg: Sí (Detección Correcta)
F_10.jpg: Sí (Detección Correcta)
F_1001.jpg: Sí (Detección Correcta)
F_1005.jpg: Sí (Detección Correcta)
F_1023.jpg: Sí (Detección Correcta)
F_1037.jpg: Sí (Detección Correcta)
F_1042.jpg: No (Detección Errónea)
F_1049.jpg: No (Detección Errónea)
F_1052.jpg: Sí (Detección Correcta)
F_1058.jpg: No (Detección Errónea)
F_1063.jpg: Sí (Detección Correcta)
F_107.jpg: Sí (Detección Correcta)
F_1072.jpg: Sí (Detección Correcta)
F_1080.jpg: Sí (Detección Correcta)
F_1085.jpg: Sí (Detección Correcta)
F_1089.jpg: Sí (Detección Correcta)
F_1101.jpg: Sí (Detección Correcta)
