Resultados de Detección de Fuego:

Imágenes con FUEGO:
F223.jpg: Sí (Detección Correcta)
F49.jpg: Sí (Detección Correcta)
F292.jpg: Sí (Detección Correcta)
F77.jpg: Sí (Detección Correcta)
F19.jpg: Sí (Detección Correcta)
F150.jpg: Sí (Detección Correcta)
F174.jpg: Sí (Detección Correcta)
F262.jpg: Sí (Detección Correcta)
F288.jpg: Sí (Detección Correcta)
F221.jpg: Sí (Detección Correcta)
F107.jpg: Sí (Detección Correcta)
F298.jpg: Sí (Detección Correcta)
F220.jpg: Sí (Detección Correcta)
F230.jpg: Sí (Detección Correcta)
F15.jpg: Sí (Detección Correcta)
F320.jpg: Sí (Detección Correcta)
F171.jpg: No (Detección Errónea)
F244.jpg: Sí (Detección Correcta)
F294.jpg: Sí (Detección Correcta)
F203.jpg: Sí (Detección Correcta)
F39.jpg: Sí (Detección Correcta)
F26.jpg: Sí (Detección Correcta)
F188.jpg: Sí (Detección Correcta)
F123.jpg: Sí (Detección Correcta)
F160.jpg: Sí (Detección Correcta)
F36.jpg: Sí (Detección Correcta)
F173.jpg: Sí (Detección Correcta)
F145.jpg: Sí (Detección Correcta)
F131.jpg: Sí (Detección Correcta)
F265.jpg: Sí (Detección Correcta)
F317.jpg: Sí (Detección Correcta)
F34.jpg: Sí (Detección Correcta)
F285.jpg: Sí (Detección Correcta)
F46.jpg: Sí (Detección Correcta)
F269.jpg: Sí (Detección Correcta)
F232.jpg: Sí (Detección Correcta)
F286.jpg: Sí (Detección Correcta)
F25.jpg: Sí (Detección Correcta)
F65.jpg: Sí (Detección Correcta)
F92.jpg: Sí (Detección Correcta)
F251.jpg: Sí (Detección Correcta)
F154.jpg: Sí (Detección Correcta)
F243.jpg: Sí (Detección Correcta)
F190.jpg: Sí (Detección Correcta)
F268.jpg: Sí (Detección Correcta)
F172.jpg: Sí (Detección Correcta)
F162.jpg: Sí (Detección Correcta)
F226.jpg: Sí (Detección Correcta)
F236.jpg: Sí (Detección Correcta)
F315.jpg: Sí (Detección Correcta)
F74.jpg: No (Detección Errónea)
F18.jpg: Sí (Detección Correcta)
F133.jpg: Sí (Detección Correcta)
F212.jpg: Sí (Detección Correcta)
F222.jpg: Sí (Detección Correcta)
F73.jpg: Sí (Detección Correcta)
F5.jpg: Sí (Detección Correcta)
F20.jpg: Sí (Detección Correcta)
F198.jpg: Sí (Detección Correcta)
F260.jpg: Sí (Detección Correcta)
F144.jpg: Sí (Detección Correcta)
F10.jpg: Sí (Detección Correcta)
F246.jpg: Sí (Detección Correcta)
F208.jpg: Sí (Detección Correcta)
F40.jpg: Sí (Detección Correcta)
F111.jpg: Sí (Detección Correcta)
F182.jpg: Sí (Detección Correcta)
F258.jpg: Sí (Detección Correcta)
F121.jpg: Sí (Detección Correcta)
F300.jpg: Sí (Detección Correcta)
F12.jpg: Sí (Detección Correcta)
F9.jpg: Sí (Detección Correcta)
F139.jpg: Sí (Detección Correcta)
F31.jpg: Sí (Detección Correcta)
F118.jpg: No (Detección Errónea)
F278.jpg: Sí (Detección Correcta)
F33.jpg: Sí (Detección Correcta)
F147.jpg: Sí (Detección Correcta)
F149.jpg: Sí (Detección Correcta)
F69.jpg: Sí (Detección Correcta)
F90.jpg: Sí (Detección Correcta)
F6.jpg: Sí (Detección Correcta)
F217.jpg: Sí (Detección Correcta)
F50.jpg: Sí (Detección Correcta)
F21.jpg: Sí (Detección Correcta)
F274.jpg: Sí (Detección Correcta)
F14.jpg: Sí (Detección Correcta)
F61.jpg: Sí (Detección Correcta)
F48.jpg: Sí (Detección Correcta)
F11.jpg: Sí (Detección Correcta)
F311.jpg: Sí (Detección Correcta)
