Resultados de Detección de Fuego:

Imágenes con FUEGO:
2.jpg: Sí (Detección Correcta)
F_1.jpg: Sí (Detección Correcta)
F_10.jpg: Sí (Detección Correcta)
F_1001.jpg: Sí (Detección Correcta)
F_1005.jpg: No (Detección Errónea)
F_1023.jpg: Sí (Detección Correcta)
F_1037.jpg: Sí (Detección Correcta)
F_1042.jpg: Sí (Detección Correcta)
F_1049.jpg: Sí (Detección Correcta)
F_1052.jpg: Sí (Detección Correcta)
F_1058.jpg: Sí (Detección Correcta)
F_1063.jpg: Sí (Detección Correcta)
F_107.jpg: Sí (Detección Correcta)
F_1072.jpg: Sí (Detección Correcta)
F_1080.jpg: Sí (Detección Correcta)
F_1085.jpg: Sí (Detección Correcta)
F_1089.jpg: Sí (Detección Correcta)
F_1101.jpg: Sí (Detección Correcta)
F_1103.jpg: Sí (Detección Correcta)
F_111.jpg: Sí (Detección Correcta)
F_1116.jpg: Sí (Detección Correcta)
F_1158.jpg: Sí (Detección Correcta)
F_1159.jpg: Sí (Detección Correcta)
F_1160.jpg: Sí (Detección Correcta)
F_1166.jpg: Sí (Detección Correcta)
F_117.jpg: Sí (Detección Correcta)
F_1171.jpg: Sí (Detección Correcta)
F_118.jpg: Sí (Detección Correcta)
F_1184.jpg: Sí (Detección Correcta)
F_12.jpg: Sí (Detección Correcta)
F_1201.jpg: No (Detección Errónea)
F_1204.jpg: Sí (Detección Correcta)
F_1209.jpg: Sí (Detección Correcta)
F_1234.jpg: Sí (Detección Correcta)
F_1236.jpg: Sí (Detección Correcta)
F_1239.jpg: Sí (Detección Correcta)
F_126.jpg: Sí (Detección Correcta)
F_13.jpg: Sí (Detección Correcta)
F_130.jpg: Sí (Detección Correcta)
F_1306.jpg: Sí (Detección Correcta)
F_132.jpg: Sí (Detección Correcta)
F_1326.jpg: No (Detección Errónea)
F_1344.jpg: Sí (Detección Correcta)
F_135.jpg: Sí (Detección Correcta)
F_1351.jpg: Sí (Detección Correcta)
F_1369.jpg: No (Detección Errónea)
F_1397.jpg: Sí (Detección Correcta)
F_140.jpg: Sí (Detección Correcta)
F_1408.jpg: Sí (Detección Correcta)
F_1414.jpg: Sí (Detección Correcta)
F_1420.jpg: Sí (Detección Correcta)
